,0,1
0,babbel,"D_Zukunftsbauer,aleyda,dylanlyons91,magdazadara,dorian_vasco"
1,duolingo,"Freeflyingfrogg,Chewy,ts2138,meese,LuisitoComunica"
2,TandemAppHQ,"ByteRisc,TheEdgeofTech23,FernandesWel,michaelG4NY,hazalski"
3,HelloTalkApp,"lindiebee,LilyPichu,parkjiminpics,EllaLanguage,bartonsmith"
4,Pimsleur,"RachelDeAlto,JasenLmt,stuartdowson,TheoryAlan,foreverIkenna"
